instance,context,0,100,150,200,250
cpd12,1,-27993.806400000005,-72286.1444,-94432.41440000001,-119551.27600000001,-149439.19600000003
cpd20,1,-545671.35,-332460.525,-225855.07499999998,-119249.62500000001,-70591.65
cpd25,1,-3029.032800000001,-51940.072800000016,-76395.64380000003,-101172.78000000003,-126466.02600000003
cpd5,1,-2165.3625,-47926.6375,-70403.9,-93687.91249999999,-116798.5
cpd28,1,-593690.4288000001,-315908.2188000001,-177017.1648,-101172.78000000003,-126466.02600000003
cpd10,1,-5998.672800000001,-62456.46080000001,-90685.45580000003,-119551.27600000001,-149439.19600000003
cpd9,1,-1999.5576000000003,-60669.24560000001,-90004.19060000002,-119551.27600000001,-149439.19600000003
cpd7,1,-19488.2625,-57584.5375,-76229.29999999999,-95680.8125,-116798.5
cpd1,1,-2165.3625,-47926.6375,-70403.9,-93687.91249999999,-116798.5
cpd13,1,-3124.3087500000006,-61793.99675000001,-91128.94175000001,-120463.68475000003,-149798.62975000005
cpd32,1,-927641.2950000002,-649859.0850000002,-510968.031,-372076.875,-233185.8210000001
cpd19,1,-225507.0375,-153961.83749999997,-118189.19999999998,-82416.5625,-70591.65
cpd2,1,-6496.087500000001,-50341.112499999996,-71860.25,-94186.13749999998,-116798.5
cpd29,1,-4732.863750000001,-53643.90375000001,-78099.47475000004,-102554.94375000003,-127010.51475000003
cpd31,1,-383361.96375000005,-298245.00375000003,-255686.57475000003,-213128.04375000004,-170569.61475000007
cpd15,1,-28118.77875,-77940.86675000002,-102852.01175000002,-127762.95475000002,-152674.09975000005
cpd16,1,-43740.32250000001,-88032.66050000001,-110178.93050000002,-132324.99850000002,-154471.2685
cpd23,1,-225507.0375,-153961.83749999997,-118189.19999999998,-82416.5625,-70591.65
cpd3,1,-19488.2625,-57584.5375,-76229.29999999999,-95680.8125,-116798.5
cpd24,1,-545671.35,-332460.525,-225855.07499999998,-119249.62500000001,-70591.65
cpd30,1,-42595.77375000001,-78104.01375000001,-95858.18475000003,-113612.25375000003,-131366.42475000003
cpd4,1,-30315.075,-63620.72499999999,-79870.17499999999,-96926.37499999999,-116798.5
cpd17,1,-2784.0375000000004,-29788.8375,-43291.2,-56793.5625,-70591.65
cpd26,1,-27261.295200000008,-62769.53520000002,-80523.70620000003,-101172.78000000003,-126466.02600000003
cpd18,1,-25056.3375,-42206.1375,-50781.0,-59355.8625,-70591.65
cpd14,1,-9372.926250000002,-65830.71425,-94059.70925000001,-122288.50225000002,-150517.49725000004
cpd21,1,-2784.0375000000004,-29788.8375,-43291.2,-56793.5625,-70591.65
cpd27,1,-245351.65680000006,-160234.69680000003,-117676.2678,-101172.78000000003,-126466.02600000003
cpd8,1,-30315.075,-63620.72499999999,-79870.17499999999,-96926.37499999999,-116798.5
cpd6,1,-6496.087500000001,-50341.112499999996,-71860.25,-94186.13749999998,-116798.5
cpd22,1,-25056.3375,-42206.1375,-50781.0,-59355.8625,-70591.65
cpd11,1,-17996.0184,-67818.1064,-92729.25140000001,-119551.27600000001,-149439.19600000003
