instance,context,ban,permit,restrict
cpd10,1,0.0,-45.46,-5.546
cpd6,1,-1.0,-45.46,3.4539999999999997
cpd4,1,-1.0,-45.459999999999994,-1.5460000000000003
cpd5,1,-1.0,34.54,-1.5460000000000003
cpd16,1,0.0,34.540000000000006,43.45399999999999
cpd15,1,0.0,34.54,3.4539999999999997
cpd13,1,0.0,34.54,-1.5460000000000003
cpd12,1,0.0,-45.46,-1.5460000000000003
cpd11,1,0.0,34.54,-5.545999999999999
cpd3,1,-1.0,34.54,-5.546
cpd14,1,0.0,-45.46,3.4539999999999997
cpd7,1,-1.0,34.54,3.4539999999999997
cpd1,1,-1.0,-60.459999999999994,-5.546
cpd2,1,-1.0,-45.459999999999994,-5.546
cpd8,1,-1.0,34.54,43.45399999999999
cpd9,1,0.0,-60.459999999999994,-5.546
