instance,context,not stay at home,stay at home
cpd41,1,-1981.263685855588,-1596.4212788416141
cpd3,1,-6265.585610628463,-1415.1050843104479
cpd43,1,-361.10162943998375,-917.9047406113021
cpd53,1,-1986.058961919911,-2002.8506521475983
cpd37,1,-357.6642418556573,-917.9047406113021
cpd10,1,-626.5585610628464,-1031.2632243306593
cpd26,1,-3479.191095286248,-2931.878576976227
cpd21,1,-6265.585610628463,-4703.0419954984945
cpd4,1,-631.0528544135799,-831.9214673351545
cpd35,1,-1986.0589619199113,-970.5646941711303
cpd47,1,-1967.1533302061148,-2002.8506521475983
cpd15,1,-6310.528544135798,-3408.5226542654973
cpd51,1,-3602.297610646523,-3013.900313991896
cpd49,1,-360.22976106465234,-991.8009903032993
cpd42,1,-3602.297610646524,-2274.9378170719256
cpd14,1,-3470.790699274689,-2219.8929392980785
cpd33,1,-3602.297610646523,-1137.016754034683
cpd34,1,-361.1016294399839,-804.112634307578
cpd29,1,-1967.1533302061148,-970.5646941711303
cpd11,1,-3446.072085845655,-2219.8929392980785
cpd7,1,-632.5801991429543,-831.9214673351545
cpd16,1,-632.580199142954,-1031.2632243306593
cpd27,1,-6325.801991429543,-4703.0419954984945
cpd54,1,-3611.0162943998384,-3013.900313991897
cpd6,1,-6310.528544135797,-1415.1050843104479
cpd5,1,-3470.790699274689,-1123.5132758228012
cpd19,1,-626.5585610628464,-1160.715158453959
cpd36,1,-3611.0162943998384,-1137.016754034683
cpd22,1,-631.0528544135799,-1160.715158453959
cpd20,1,-3446.0720858456543,-2931.878576976227
cpd48,1,-3576.6424185565725,-3013.900313991897
cpd9,1,-6325.801991429543,-1415.1050843104479
cpd28,1,-357.6642418556573,-804.112634307578
cpd18,1,-6325.801991429542,-3408.522654265497
cpd23,1,-3470.790699274689,-2931.878576976227
cpd44,1,-1986.058961919911,-1596.4212788416141
cpd25,1,-632.580199142954,-1160.715158453959
cpd46,1,-357.6642418556573,-991.8009903032993
cpd2,1,-3446.0720858456543,-1123.5132758228012
cpd24,1,-6310.528544135797,-4703.041995498493
cpd39,1,-3576.642418556572,-2274.9378170719256
cpd45,1,-3611.016294399838,-2274.9378170719256
cpd1,1,-626.5585610628461,-831.9214673351545
cpd31,1,-360.22976106465234,-804.112634307578
cpd32,1,-1981.263685855588,-970.5646941711303
cpd8,1,-3479.191095286248,-1123.5132758228012
cpd38,1,-1967.1533302061148,-1596.4212788416144
cpd12,1,-6265.585610628461,-3408.522654265497
cpd50,1,-1981.263685855588,-2002.8506521475983
cpd17,1,-3479.191095286248,-2219.8929392980785
cpd40,1,-360.22976106465234,-917.9047406113021
cpd30,1,-3576.6424185565725,-1137.016754034683
cpd13,1,-631.0528544135799,-1031.2632243306593
cpd52,1,-361.10162943998375,-991.8009903032993
